gene_name	HCM-CSHL-0080-C25-01A	HCM-SANG-0291-C15-85A-01R-A80W-32	HCM-SANG-0265-C18-85A	HCM-CSHL-0160-C18-01B	HCM-SANG-0269-C18-85A-01R-A80W-32
FHL1	844	83	15	909	24
RTF2	1786	1971	2616	1373	3687
GABRA1	0	0	0	6	0
NLRP2	44	3166	812	12	12
SLC45A4	1154	2313	1686	950	598
RNF10	2851	5571	3888	2370	2741
ZNF839	338	331	293	144	90
ZDHHC6	1187	2323	1497	1349	2049
GRAMD1B	1021	1019	325	266	9
RNH1	4128	4776	4265	896	1683
NDUFS1	3276	5851	5404	3539	4218
RB1CC1	3690	3281	4144	3736	2763
ERP44	1569	5189	4250	2194	9245
ALAS1	870	5311	2233	554	1368
BIRC3	6089	1097	966	3524	832
AKAP11	4533	3585	5993	6711	1522
GLRX2	382	514	1033	657	560
SNAPC1	317	258	191	80	676
DERA	1773	921	967	641	787
STRAP	2788	7651	6102	1992	11554
ABCC2	131	57	127	142	648
DEF6	430	816	326	242	265
PLEKHO1	1316	80	25	504	92
GCLM	405	971	821	925	952
UBR2	4244	1979	4277	3304	4334
EHD2	3600	1264	49	601	14
DEPDC1	256	783	985	522	983
CCDC28A	331	1241	524	265	3620
RRAGD	637	4	51	338	1238
HSF2	377	783	744	322	2368
PHF20	3087	2355	4451	3264	3871
HSD17B6	211	20	78	31	31
NR1H3	660	1875	545	415	513
TYMP	4041	393	57	859	43
NCAPH2	831	1662	827	310	655
TOMM34	1018	2829	4899	1194	3630
SEC63	3335	5106	3265	3135	4133
KPNA6	3925	4020	4854	2882	1141
VIM	13716	91	53	3629	5
RTEL1.TNFRSF6B	198	32	52	272	149
FAS	630	413	200	666	121
RNASET2	2996	1576	2326	1454	2949
CD44	30371	3700	10818	9853	9191
KCNG1	41	0	9	20	7
AGPAT4	1281	328	59	551	723
SLAMF7	282	0	2	633	2
BTN3A1	2171	1122	549	1403	619
MIPEP	475	1229	1766	762	581
PRKCH	1526	734	21	700	274
INSRR	2	0	1	10	2
IFNGR1	4303	2692	3888	2328	6083
B4GALT7	688	1319	1049	498	286
SH2D2A	211	246	60	100	170
VRK2	712	568	754	586	860
TNFRSF1B	1649	2170	2577	1469	534
VEZT	3503	2808	1755	1967	1869
POU2F2	233	28	15	278	26
BRD9	1073	512	2413	961	1399
SNX1	2720	6924	1784	1910	2276
TBPL1	428	394	438	340	3472
ARNTL2	3801	915	1154	1219	749
BCLAF1	4811	6063	8196	5284	6088
SLC39A9	5075	4676	4891	2064	3781
ANK1	32	25	12	53	80
IBSP	48	0	0	9	0
TFB1M	441	568	709	346	1735
RABEP1	1560	1214	2115	1253	463
HMGB3	1639	1353	3919	1061	1990
NUP160	3686	1120	2981	1728	2158
BAK1	439	1286	1098	412	605
MUSK	21	0	2	151	0
IKZF2	1622	145	15	734	38
GRN	20598	13938	6779	3077	6293
FAM13B	1194	787	1044	1448	695
ARHGAP31	2849	9	50	1365	9
CENPQ	160	365	299	123	983
SARS1	1982	7340	6398	1286	8418
RANBP3	1103	2614	2008	971	1574
ARID4A	2155	1331	623	954	1288
EIPR1	675	2096	1741	426	881
PNPLA6	1976	3035	2597	687	1123
IFT88	419	1080	1650	743	458
ALG1	523	705	1313	282	707
ZCCHC8	832	1307	1024	801	801
ABCF2	315	603	1037	317	444
CHPF2	3278	1085	3513	1190	695
LRRC7	20	6	36	171	40
FUT8	2673	3124	2664	1066	1420
UBA6	3996	3067	4468	4234	2432
GAB2	2108	1495	1800	1220	596
ATP6V0A1	2966	1367	1555	2214	1068
PIAS1	1498	3561	1114	1466	1236
SLC4A7	3015	1005	1743	2350	1683
APBA2	837	0	2	110	7
MAP2K3	1373	3450	1462	645	2836
EFCAB1	23	0	0	20	0
TMSB10	26247	65552	39988	6360	207485
ASTE1	206	177	207	261	262
RNF19A	3587	1005	1658	2858	1720
PEX3	344	713	647	318	659
GABARAPL2	1565	2294	1042	1043	7373
MYOC	2	0	1	2	0
SH3YL1	1280	5373	5126	2195	14536
FAM136A	819	2095	1989	1078	1909
VCL	18242	10905	7801	4714	2869
DEPDC1B	193	853	1353	256	1444
DAPK2	290	8	184	581	369
NSMAF	1020	799	1988	1128	624
ADSS2	1251	2689	2036	1094	1234
STAP1	33	9	6	38	0
TIMP2	24813	3584	650	5875	1394
RFC1	2294	3515	2907	2028	1411
TBC1D23	1409	1133	1356	1334	2432
CUL3	2488	5089	2317	2636	2420
MYOM2	30	164	43	30	57
OTC	2	2	397	23	0
CYP46A1	20	0	3	30	9
ZZZ3	1420	3399	2518	2420	2734
SLC18A1	7	0	4	35	40
USP2	42	28	40	80	69
CASR	14	0	11	24	2
TUBG2	423	201	271	196	489
RPL26L1	252	886	881	137	2384
FLT4	319	0	3	146	12
NSUN2	2563	2239	5363	1925	1694
FBXO42	1213	1090	1029	1217	546
MFAP3	1482	589	1154	805	525
MRI1	377	605	401	163	681
METTL1	244	578	436	176	392
HOXC8	82	45	80	38	2
AGA	916	400	664	213	520
PI4K2B	986	1783	1811	1719	726
BOD1L1	6385	4008	3067	3887	1283
MAT2B	1618	3892	3245	1350	4712
TLL1	173	0	1	135	0
EDC4	1442	2230	1521	602	692
TRIO	15850	1319	7213	6827	2425
VCAN	137871	2	5998	9772	5
CLEC16A	2319	1695	1752	1350	440
MSR1	3051	9	11	1271	2
CDH1	18646	21510	11421	12421	6506
MTREX	1937	3217	5622	1972	2496
DNAH5	864	62	151	80	24
ZFYVE16	2293	1173	2301	2725	803
RIPOR1	1548	1273	273	452	692
C6	23	0	25	16	0
RAI14	6911	469	252	1407	123
SOX30	88	93	33	17	50
PNKP	1095	1648	631	441	1141
BEST2	5	0	6	113	19
PHLPP2	603	427	970	1818	397
SPDL1	524	884	978	352	612
STAU2	1040	1884	1260	2081	1328
SLC66A1	383	455	334	146	142
CTNS	770	240	443	398	165
RTN4R	84	534	305	40	272
PHF23	1099	1019	960	305	319
CDH10	15	0	1	10	2
INPP4A	1839	1305	1125	1609	718
RAB27B	1436	711	368	357	43
PSMA4	1847	7857	3399	1186	11833
MYO16	46	18	1	48	5
LSG1	1405	1805	2500	1036	1950
PARP3	565	1917	648	191	246
TNC	13576	8	56	4362	17
THAP3	258	458	285	81	737
RIPOR3	193	24	46	304	57
TDP1	1120	1250	1307	383	1080
AIFM2	392	2501	888	552	858
C2orf83	3	0	2	11	7
SPATA7	476	440	660	205	2503
MED17	300	92	367	613	253
RETSAT	1691	5393	4755	1278	1598
CAPG	4282	3895	1004	626	1345
AP2S1	1409	2547	1395	428	2649
USH2A	51	4	44	136	5
ZPBP	0	0	0	11	0
TG	90	3	29	1606	2
ADAM28	1917	869	31	1199	2
BARX2	164	900	234	36	12
DCUN1D1	1398	1836	2167	1592	2574
JADE2	1721	1631	1917	1333	593
ZIC2	82	355	4	48	14
LCP2	1373	0	1	1506	0
TRIT1	770	999	961	788	867
ADRB1	3	66	32	11	104
GUCA2B	0	1	1	8	0
CUL7	1458	2129	954	398	1921
CTNNA1	14852	22008	21088	6971	5450
PHKA2	734	1270	661	1229	1099
CNTLN	579	0	5	494	7
EPHA3	809	0	13	219	5
HSPA5	12305	17431	19723	5380	18863
DSG2	10491	16131	4759	7268	3424
GEMIN8	248	547	767	466	2087
OFD1	1266	1031	1880	2059	2413
GPM6B	304	14	83	682	147
MAGEC2	0	0	0	1	0
PREX2	838	0	5	507	0
WDR37	761	959	1075	845	969
YTHDC2	1467	1669	2582	1573	806
CTPS2	1021	2157	1316	1391	1867
ATP6V1H	965	1100	1451	974	2299
POLR2B	4122	5969	6325	2489	3072
FAM214A	1496	1031	233	1530	295
ARAP2	3671	982	2368	2151	203
TPR	9961	8561	12133	6020	2323
CP	4862	7	33	128	33
KATNIP	1622	1523	1320	851	359
DTNBP1	303	617	279	496	345
XK	219	1986	836	1425	251
ANO2	84	0	8	80	2
C12orf4	899	551	412	736	406
SCML1	136	1282	791	2264	4502
WWC3	2668	45	773	1773	926
ARHGAP6	148	715	442	171	78
FAM184B	26	6	13	83	38
MAP4	14802	14269	6601	5413	3880
GOPC	2449	1611	1797	1407	2110
ROS1	5537	0	1	47	12
USP28	1415	796	2170	887	933
HDAC9	2136	360	49	704	28
TSPAN17	1078	1558	1663	552	775
NOP16	171	882	827	327	1106
CC2D2A	1368	822	361	1164	484
RRM2B	1068	1167	2771	1517	2316
ZNF800	1245	1418	2289	2723	865
TNFRSF17	29	0	0	95	7
SNX29	2615	570	763	809	144
LMO3	221	28	17	242	24
MRPS10	1047	2508	2090	790	8238
GUCA1A	0	0	1	1	5
RSF1	5228	3225	3047	3298	2377
VPS13D	7817	6090	5135	6113	1182
CELF2	1348	0	590	3409	175
FAM120A	6220	22375	12702	7077	4195
R3HDM1	1226	2680	859	1623	1118
COL9A2	197	305	49	82	106
KITLG	1309	2018	2458	981	534
ERCC8	602	661	1325	887	414
ADAMTS6	758	78	333	323	54
H6PD	9466	5488	4390	2407	959
VAMP3	3627	6204	3307	2664	3507
PER3	1062	467	74	230	61
UTS2	4	25	10	4	0
TNFRSF9	126	107	18	134	9
EPN3	206	1297	262	201	319
LTBP1	8332	95	789	1790	454
RCN1	1709	901	2066	1529	5632
ELN	1467	29	10	942	21
RFC2	575	1472	1656	339	475
ARID1B	7105	3789	2812	7433	964
CLPTM1L	2812	2331	5143	1630	2200
NEDD4L	1693	6194	1337	3707	1862
FOXP3	73	7	10	137	19
PPP1R3F	74	7	119	61	123
HEXB	3632	8939	6900	3606	11060
PTCD2	454	829	1142	729	586
NEXMIF	64	0	2	60	5
JKAMP	1655	1645	1016	669	3507
DKK3	5275	137	641	1161	359
ARHGEF5	564	1080	1078	486	340
NFE2L3	1279	4155	3430	3494	2073
MCUR1	907	1802	2565	1314	1033
LIMA1	2402	18843	5377	3735	2359
LETMD1	875	3956	3683	1880	8132
SLC4A8	151	63	401	448	345
LAMC3	320	1	6	71	0
PTGER3	353	0	2	223	0
TNIP3	65	0	0	68	0
MAPK9	1067	3129	2556	1719	1742
COL23A1	62	1	5	34	2
BCAR1	3599	4246	1463	728	690
FAM160A2	1665	1979	1349	1274	822
HERPUD1	3212	2106	2063	2660	5015
HOMER3	351	118	162	63	338
RAD51	114	568	446	141	272
POLQ	326	790	1232	1006	402
PIK3CB	1576	2510	1413	2215	1446
CYBA	5982	9823	4658	769	2136
THOC3	276	1392	1199	184	990
HEBP2	2064	4811	2823	1771	5925
MPHOSPH9	916	1558	1567	1293	1243
PLEKHA5	4264	2340	1511	1918	1165
PRSS8	1486	3945	3459	952	4143
SIKE1	1005	1768	2103	1948	2973
RRP12	890	1661	3256	721	1108
FNIP2	3384	4257	1240	2960	624
MSMO1	1851	10376	5772	1773	11043
TTC17	3725	2135	5000	3838	4656
ALX4	16	0	31	54	21
FSTL4	25	0	8	13	7
FOXN3	4544	3049	562	2687	931
METTL24	134	0	1	19	2
AKR7A2	964	3743	2227	494	1538
MRTO4	907	2689	2166	592	2434
NNAT	106	9	71	569	17
USE1	211	600	381	78	1553
MCF2L2	120	8	19	221	19
NRIP2	215	31	148	297	225
LAMA3	24176	3836	1912	2141	92
AP5M1	2063	1795	1633	1632	1035
ANAPC4	1094	712	938	1209	593
KCNQ1	415	6723	1667	1080	2205
TRAPPC3	1301	2032	1452	793	2125
THRAP3	6394	10382	7176	3255	1921
PHPT1	582	2721	986	206	3727
ENTPD2	85	1042	140	101	1921
LY75	659	995	952	1236	988
ARID4B	3504	1866	2102	2094	1446
OPN3	268	109	128	131	40
SDCCAG8	916	1281	1045	723	664
PTPRN	125	9	22	27	9
HHAT	359	121	67	162	33
KIF1B	5937	4094	4924	4240	782
FOXC1	1263	540	156	127	331
TBC1D22A	1123	1803	910	1021	345
SYNE2	37050	19390	11227	13459	1605
PLEKHH1	838	1452	1737	1098	1120
ATP9A	6101	3104	8394	13715	3481
SPO11	0	0	2	10	0
CBLN4	7	0	0	3	0
CHRDL2	15	0	4	164	0
FAM168A	4219	2181	2207	1436	714
RELT	499	120	388	201	121
GALC	2352	1314	4017	583	12
NOP58	1205	4103	3004	1309	3665
SZRD1	2416	5648	2097	1469	2089
KCNH2	65	1093	561	238	891
CUL1	2178	3058	4275	2074	1798
FAM114A2	640	752	934	477	539
CYFIP2	626	393	263	776	354
TAB2	3776	4344	1128	3092	3325
GINM1	1563	1126	705	551	1997
EIF2AK2	7347	1902	4505	10615	2810
USP36	2210	3175	1580	2213	1867
KMT2C	10587	4899	7523	12316	728
MCOLN3	39	5	111	215	45
CCDC85A	26	0	1	4	0
PUM2	5168	7909	6901	6123	6378
MRPL43	569	1957	1243	365	3866
ITIH4	15	0	3	11	0
ITIH1	3	2	2	10	0
HPF1	335	664	472	225	733
ZFR	3972	3878	5345	2956	3862
ZNF280C	379	416	1401	480	496
NPFFR2	2	0	0	7	2
