gene_symbol	gs_name	gs_description
ASF1A	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
ASF1B	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
ATAD2	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
ATF3	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
ATF3	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
ATF5	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
ATRX	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
AURKA	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
AURKA	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
AURKB	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
AURKB	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
AVPR1A	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
BAIAP2	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
BAK1	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
BARD1	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
BARD1	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
BAX	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
BAX	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
BCAM	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
BCAP31	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
BCAP31	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
BCL10	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
BCL2L1	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
BCL2L10	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
BCL2L11	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
BCL2L2	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
BCL3	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
BGN	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
BID	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
BIK	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
BIRC3	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
BIRC5	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
BIRC5	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
BLCAP	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
BMF	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
BMP2	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
BMP2	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
BNIP3L	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
BOLA2	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
BRCA1	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
BRCA1	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
BRCA2	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
BRCA2	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
BRF2	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
BRMS1L	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
BTG1	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
BTG2	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
BTG2	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
BTG3	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
BUB1	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
BUB1B	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
BUB3	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
CANT1	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
CASP1	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
CASP1	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
CASP2	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
CASP3	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
CASP4	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
CASP6	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
CASP7	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
CASP8	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
CASP8AP2	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
CASP9	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
CAV1	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
CBX1	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
CBX5	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
CCNA1	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
CCNA2	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
CCNB2	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
CCNB2	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
CCND1	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
CCND1	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
CCND2	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
CCND2	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
CCND3	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
CCNE1	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
CCNF	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
CCNG1	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
CCNK	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
CCNO	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
CCNT1	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
CCP110	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
CCP110	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
CD14	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
CD2	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
CD38	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
CD44	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
CD69	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
CD81	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
CD82	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
CDA	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
CDC20	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
CDC20	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
CDC25A	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
CDC25A	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
CDC25B	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
CDC25B	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
CDC25B	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
CDC27	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
CDC45	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
CDC6	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
CDC7	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
CDCA3	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
CDCA8	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
CDH13	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
CDK1	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
CDK1	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
CDK2	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
CDK4	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
CDK4	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
CDK5R1	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
CDKN1A	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
CDKN1A	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
CDKN1A	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
CDKN1B	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
CDKN1B	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
CDKN1B	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
CDKN2A	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
CDKN2A	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
CDKN2AIP	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
CDKN2B	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
CDKN2C	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
CDKN2C	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
CDKN3	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
CDKN3	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
CEBPA	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
CENPA	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
CENPE	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
CENPE	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
CENPF	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
CENPM	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
CETN2	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
CFLAR	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
CGRRF1	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
CHAF1A	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
CHEK1	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
CHEK1	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
CHEK2	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
CHMP1A	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
CIT	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
CKS1B	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
CKS1B	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
CKS2	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
CKS2	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
CLCA2	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
CLP1	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
CLU	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
CMPK2	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
CNOT9	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
COQ8A	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
COX17	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
CREBBP	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
CSE1L	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
CSRNP2	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
CSTF3	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
CTCF	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
CTCF	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
CTH	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
CTNNB1	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
CTPS1	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
CTSD	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
CTSF	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
CUL1	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
CUL3	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
CUL4A	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
CUL5	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
CYFIP2	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
CYLD	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
DAD1	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
DAP	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
DAP3	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
DBF4	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
DCK	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
DCLRE1B	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
DCN	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
DCTN4	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
DCTPP1	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
DCXR	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
DDB1	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
DDB2	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
DDB2	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
DDIT3	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
DDIT3	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
DDIT4	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
DDX39A	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
DDX39A	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
DEF6	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
DEK	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
DEPDC1	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
DFFA	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
DGCR8	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
DGKA	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
DGUOK	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
DIABLO	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
DIAPH3	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
DKC1	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
DLGAP5	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
DMD	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
DNAJA1	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
DNAJC3	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
DNM1L	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
DNMT1	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
DNTTIP2	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
DONSON	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
DPYD	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
DR1	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
DRAM1	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
DSCC1	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
DTYMK	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
DUT	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
DUT	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
E2F1	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
E2F2	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
E2F3	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
E2F4	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
E2F8	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
EBP	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
EDF1	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
EED	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
EFNA5	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
EGF	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
EGR3	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
EI24	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
EIF1B	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
EIF2S1	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
ELL	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
ELOA	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
ELP1	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
EMP1	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
ENO2	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
EPHA2	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
EPHX1	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
EPS8L2	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
ERBB2	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
ERBB3	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
ERCC1	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
ERCC2	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
ERCC3	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
ERCC4	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
ERCC5	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
ERCC5	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
ERCC8	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
EREG	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
ESPL1	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
ESPL1	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
ETF1	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
EWSR1	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
EXO1	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
EXOSC8	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
EZH2	HALLMARK_E2F_TARGETS	Genes encoding cell cycle related targets of E2F transcription factors.
EZH2	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
F2	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
F2R	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
F2R	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
FAM162A	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
FANCC	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
FAS	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
FAS	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
FASLG	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
FBXO5	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
FBXW7	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
FDXR	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
FDXR	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
FEN1	HALLMARK_DNA_REPAIR	Genes involved in DNA repair.
FEZ1	HALLMARK_APOPTOSIS	Genes mediating programmed cell death (apoptosis) by activation of caspases.
FGF13	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
FOS	HALLMARK_P53_PATHWAY	Genes involved in p53 pathways and networks.
FOXN3	HALLMARK_G2M_CHECKPOINT	Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.
